cumomer	InChi	value	sd
1xx	/i1+1		
x1x	/i2+1	0.5042930886267823	0.02117598494725163
xx1	/i3+1		
11x	/i1+1,2+1	0.2543422418871897	0.013398501463735592
1x1	/i1+1,3+1	0.2756399365801585	0.01873473106405924
x11	/i2+1,3+1	0.25727270949461867	0.013479762248666241
111	/i1+1,2+1,3+1	0.1322972861442818	0.007282073378475301
