isotopomer	InChi	value	sd
000	/i1+0,2+0,3+0	0.11980631540655655	0.009267797243148359
001	/i1+0,2+0,3+1		
100	/i1+1,2+0,3+0		
101	/i1+1,2+0,3+1	0.1433426504358767	0.01843818345829789
010	/i1+0,2+1,3+0	0.12497542338925581	0.011180821087657713
011	/i1+0,2+1,3+1	0.12497542335033687	0.011180821078680726
110	/i1+1,2+1,3+0	0.12204495574290787	0.011113200595127342
111	/i1+1,2+1,3+1	0.1322972861442818	0.007282073378475301
